999999,2012,2013,2014,2015,2016,2017,2018
"000012",,,10,11,12,18,19
"000027",,,13,14,11,13,11
"000039",,,26,27,25,,26
"000055",,,,,,,12
"000060",25,13,11,14,13,11,13
"000401",,,16,,13,13,13
"000423",,,13,6,15,,
"000538",,,16,21,15,23,18
"000539",,,22,,20,23,26
"000623",7,12,8,10,12,10,13
"000630",,12,14,,10,10,12
"000635",,,11,17,14,12,13
"000672",,,,9,7,15,19
"000690",9,9,12,,12,12,12
"000709",20,20,15,14,10,15,14
"000717",,,,,,,
"000726",13,17,17,18,22,21,18
"000756",,,,,26,,5
"000758",14,15,15,18,17,17,
"000762",17,15,10,10,8,8,
"000778",18,15,13,13,19,17,14
"000786",,,,,,,18
"000792",14,18,18,18,23,26,15
"000807",15,13,11,17,,,
"000815",,13,4,,7,6,3
"000819",9,10,12,12,13,13,13
"000822",,,,,,,
"000825",19,21,23,25,26,28,27
"000831",,20,17,16,,,
"000833",,,,36,32,,
"000875",,,,,,,
"000877",17,16,,,,,
"000878",17,20,19,23,23,27,20
"000883",,,,14,11,11,11
"000898",18,,20,19,20,20,27
"000902",,,20,,,,
"000930",,,,14,,,
"000933",13,14,14,9,10,11,12
"000937",21,22,,,,,
"000952",,,,,,,
"000959",,,,,,,
"000960",25,22,20,20,19,19,0
"000962",11,15,15,12,16,16,18
"000968",11,13,9,13,16,11,
"000969",12,13,14,14,14,13,12
"000983",17,20,20,19,15,18,
"000993",5,5,6,5,8,8,9
"000999",,,14,20,16,20,21
"002001",13,15,12,13,15,15,13
"002007",13,15,16,18,12,10,12
"002019",,,,,,,
"002022",,,,,,,
"002030",,,8,9,8,8,8
"002038",19,19,19,19,20,20,20
"002039",,17,16,13,12,13,15
"002042",19,19,,20,20,19,22
"002054",20,18,19,19,18,19,19
"002064",21,19,20,20,20,26,24
"002067",30,30,30,,24,20,23
"002078",13,12,10,12,15,18,18
"002080",15,17,15,15,,12,
"002082",15,15,15,15,,,
"002084",19,16,15,13,14,15,13
"002087",,,,,17,,15
"002092",25,20,27,25,24,22,20
"002110",16,14,17,14,13,17,19
"002128",21,22,,,,,
"002144",26,26,23,,24,24,24
"002145",,,,,20,18,18
"002155",16,11,8,10,11,11,
"002162",17,,18,19,19,19,19
"002165",15,16,16,13,13,20,21
"002166",,,,,,,
"002170",,9,9,9,10,10,9
"002172",26,26,26,26,26,,
"002198",,,,,,,
"002203",10,5,28,28,6,,13
"002225",,,,27,27,,
"002233",14,11,11,12,15,15,21
"002237",,,33,32,36,,
"002246",10,12,21,20,24,22,21
"002250",18,16,12,12,12,13,14
"002252",,,,,14,14,15
"002262",,,,,,,
"002271",23,19,21,23,22,,24
"002287",14,14,17,18,15,15,15
"002319",,,,,,,
"002394",,16,13,11,12,13,5
"002407",,,,,,14,14
"002422",21,24,23,23,0,19,25
"002460",,,,,12,12,
"002466",,,,,19,15,22
"002470",22,12,16,15,24,17,13
"002493",,,,,,,16
"002511",,,,,,,19
"002545",,11,,,,,
"002565",,,,,,,19
"002578",17,16,,,16,16,16
"002584",,16,14,,,,
"002597",,,,,,17,18
"002601",20,16,17,24,25,22,23
"002674",18,19,19,18,17,17,
"002693",,,,,,,20
"002709",,,,,,10,14
"002716",,10,,,,,
"002734",,,,21,25,,25
"002760",,,,17,,,
"002773",,,,,,,24
"300006",,,,,,,
"300019",10,11,19,17,17,18,16
"300034",9,18,18,15,14,14,14
"300039",,,5,9,12,12,11
"300064",9,,,,,,
"300067",20,19,20,19,18,,
"300072",,,,,,9,
"300080",13,13,12,15,17,15,11
"300082",,18,20,20,20,20,10
"300086",,,,13,,,16
"300110",14,15,15,15,15,14,
"300122",,,,,,,21
"300132",8,10,10,14,13,13,15
"300174",14,14,14,14,14,14,14
"300179",9,9,10,10,10,5,5
"300181",25,19,20,18,0,21,16
"300236",,,,,,15,14
"300363",,,,,18,,
"300387",,,,,13,13,14
"300398",,,,,,17,20
"300463",,,,,17,,
"600010",,,,,,,16
"600011",10,12,9,12,6,7,9
"600019",32,33,34,26,33,,
"600021",,15,23,20,26,,
"600022",18,20,20,19,19,16,16
"600027",15,15,14,14,13,1,
"600028",,,,,,,
"600056",7,11,9,15,19,10,13
"600062",15,22,23,21,24,19,22
"600063",14,23,0,0,0,20,25
"600070",31,29,,,,,
"600078",,14,13,6,,,
"600085",,,,,,,10
"600096",19,16,16,14,,0,20
"600098",24,22,20,21,21,,
"600103",19,20,19,20,22,23,23
"600110",12,10,,10,10,10,11
"600111",18,16,19,12,17,15,13
"600116",9,7,9,9,9,10,9
"600117",,,,,,,14
"600123",20,19,19,16,19,19,
"600141",12,13,8,5,16,15,15
"600160",14,15,25,24,26,25,25
"600161",20,0,19,21,16,19,15
"600163",16,17,15,,10,10,11
"600176",,,,,,,18
"600188",24,24,24,22,28,28,
"600195",7,13,7,8,9,6,10
"600196",24,24,24,29,28,31,27
"600206",9,7,12,11,7,10,5
"600219",20,18,16,21,18,21,20
"600226",,,,,,19,17
"600232",29,,,,,,
"600235",28,30,,28,28,,
"600252",5,4,16,13,13,9,9
"600255",10,11,5,10,15,14,
"600256",15,13,20,19,22,26,
"600259",,15,14,13,13,11,
"600267",23,19,25,19,24,23,19
"600273",,,,15,,11,12
"600277",,,,13,16,21,15
"600282",16,16,,23,23,18,19
"600293",,,,,8,10,
"600307",10,10,10,10,10,15,17
"600308",15,14,14,14,14,13,13
"600309",,,17,15,17,18,11
"600310",10,9,10,11,11,10,14
"600315",,,,14,16,19,13
"600329",8,7,0,0,8,8,16
"600331",32,31,30,31,31,,
"600332",15,11,23,22,23,4,27
"600351",14,18,17,16,21,19,17
"600352",13,13,17,14,15,14,12
"600356",14,16,16,17,15,15,17
"600362",17,,15,14,12,16,12
"600367",,,,10,12,8,12
"600380",,,,,,,24
"600389",23,22,16,17,19,17,14
"600392",,,,,,,
"600396",,,,5,6,,5
"600409",19,15,15,14,13,17,14
"600420",,20,22,,17,18,6
"600433",,,,7,6,9,10
"600436",,,,15,16,,15
"600439",13,13,12,12,12,12,12
"600452",9,9,8,9,9,8,7
"600456",,,,13,,20,18
"600459",,,16,12,12,11,11
"600483",,,13,12,14,16,6
"600486",12,13,12,10,9,12,9
"600488",10,11,14,11,11,10,12
"600489",,,,19,19,19,
"600490",,,,,,1,12
"600493",,,,,,,12
"600497",17,18,17,25,,19,
"600500",17,16,22,17,12,14,
"600505",9,12,12,14,11,11,13
"600507",12,10,,12,12,9,12
"600518",,8,8,8,21,23,24
"600531",12,15,18,14,15,17,10
"600535",18,18,15,15,17,16,18
"600547",,,,14,20,,
"600549",,,,,,,10
"600557",,,,,,,21
"600566",,,,,,10,9
